brand,model,make year,reg year,km driven,price,transmission,fuel type,engine capacity(CC),ownership,reg number,has insurance,spare key,title,overall cost
Ford,Endeavour,2022,2022,39447,410000,Manual,Petrol,1200,First Owner,RJ04D9322,Yes,No,Ford Endeavour 2022,20500
Mahindra,Scorpio,2021,2021,34237,425000,Manual,Petrol,2000,Second Owner,HR16C1189,Yes,No,Mahindra Scorpio 2021,21250
Tata,Nexon,2012,2012,181846,75000,Manual,CNG,1200,Third Owner,MH09B3612,Yes,Yes,Tata Nexon 2012,3750
Renault,Triber,2023,2023,12409,340000,Manual,Petrol,1000,First Owner,MH12B5297,No,Yes,Renault Triber 2023,17000
Renault,Captur,2018,2018,99586,185000,Automatic,Diesel,1000,First Owner,DL07A6463,Yes,Yes,Renault Captur 2018,9250
Honda,City,2017,2017,128393,225000,Automatic,Diesel,1200,Third Owner,UP08D4104,Yes,Yes,Honda City 2017,11250
Honda,WR-V,2017,2017,102230,195000,Manual,Diesel,1500,Third Owner,HR14C7938,Yes,Yes,Honda WR-V 2017,9750
Honda,Accord,2016,2016,197681,195000,Automatic,Petrol,1600,Second Owner,PB04A4157,No,No,Honda Accord 2016,9750
Toyota,Corolla,2021,2021,42090,555000,Automatic,Petrol,2000,First Owner,UP07B8392,Yes,No,Toyota Corolla 2021,27750
Volkswagen,Tiguan,2016,2016,106325,200000,Manual,Petrol,2000,Second Owner,PB09D6232,Yes,Yes,Volkswagen Tiguan 2016,10000
Ford,Figo,2012,2012,95265,125000,Manual,Electric,1200,Second Owner,GJ05D8392,Yes,No,Ford Figo 2012,6250
Kia,Sonet,2016,2016,152901,245000,Manual,Diesel,2200,Second Owner,MH06B2930,No,No,Kia Sonet 2016,12250
Mahindra,Bolero,2012,2012,249111,130000,Manual,Diesel,2200,Second Owner,GJ09A2959,Yes,No,Mahindra Bolero 2012,6500
Volkswagen,Polo,2011,2011,207402,135000,Automatic,Diesel,2000,Second Owner,DL16B5548,No,No,Volkswagen Polo 2011,6750
Honda,Jazz,2012,2012,146481,125000,Manual,Petrol,1200,First Owner,TS08D9445,Yes,Yes,Honda Jazz 2012,6250
Hyundai,Santro,2011,2011,2734,95000,Manual,Diesel,1200,Second Owner,AP16D7015,No,No,Hyundai Santro 2011,4750
